enzyme,substrates,products,genes_id
6.3.5.7,"['C00002', 'C06112', 'C00064', 'C00001', 'C00014']","['C00008', 'C00009', 'C02282', 'C00025', 'C00014']","['283459', '5188', '55278']"
6.4.1.1,"['C00002', 'C00022', 'C00288']","['C00008', 'C00009', 'C00036']",['5091']
6.4.1.2,"['C00002', 'C00024', 'C00288']","['C00008', 'C00009', 'C00083']","['31', '32']"
6.4.1.3,"['C00002', 'C00100', 'C00288']","['C00008', 'C00009', 'C00683']","['5095', '5096']"
6.4.1.4,"['C00002', 'C03069', 'C00288']","['C00008', 'C00009', 'C03231']","['56922', '64087']"
6.5.1.1,['C00002'],"['C00039', 'C00020', 'C00013']","['3978', '3980', '3981']"
6.5.1.4,['C00002'],"['C00020', 'C00013']",['8634']
6.5.1.6,"['C00002', 'C00003']","['C00039', 'C00020', 'C00013']",['3978']
6.5.1.7,"['C00002', 'C00008', 'C00044']","['C00039', 'C00020', 'C00013', 'C00009', 'C00144']",['3978']
6.5.1.8,"['C00044', 'C00001']","['C00046', 'C00144', 'C00013']",['51493']
7.1.1.1,"['C00005', 'C00003']","['C00006', 'C00004']",['23530']
7.1.1.2,"['C00004', 'C00399']","['C00003', 'C00390']","['374291', '4535', '4536', '4537', '4538', '4539', '4540', '4541', '4719', '4720', '4722', '4723', '4728', '4729']"
7.1.1.8,"['C00530', 'C00125']","['C00472', 'C00126']",['7386']
7.1.1.9,"['C00126', 'C00007']","['C00125', 'C00001']",['4512']
7.1.2.2,"['C00002', 'C00001']","['C00008', 'C00009']","['506', '523']"
7.2.1.3,[],[],"['11068', '1534', '220002', '79901']"
7.2.2.10,"['C00002', 'C00001']","['C00008', 'C00009']","['27032', '487', '488', '489', '490', '491', '492', '493', '9914']"
7.2.2.13,"['C00002', 'C00001']","['C00008', 'C00009']","['476', '477', '478', '480']"
7.2.2.19,"['C00002', 'C00001']","['C00008', 'C00009']","['479', '495', '496']"
7.2.2.8,"['C00002', 'C00001']","['C00008', 'C00009']","['538', '540']"
7.3.2.7,"['C00002', 'C00001']","['C00008', 'C00009']",['439']
7.4.2.14,"['C00002', 'C00001']","['C00008', 'C00009']","['6890', '6891']"
7.6.2.1,"['C00002', 'C00001']","['C00008', 'C00009']","['10079', '10396', '148229', '23120', '23200', '23250', '286410', '374868', '51761', '5205', '57194', '57198', '57205', '79895']"
7.6.2.2,"['C00002', 'C00001']","['C00008', 'C00009']","['5243', '5244']"
7.6.2.3,"['C00002', 'C00001']","['C00008', 'C00009']",['4363']
7.6.2.4,"['C00002', 'C00001']","['C00008', 'C00009']","['215', '225', '5825']"
7.6.2.8,"['C00002', 'C00001']","['C00008', 'C00009']",['5826']
