enzyme,substrates,products,genes_id
1.2.1.3,"['C00071', 'C00003', 'C00001']","['C00060', 'C00004', 'C00080']","['217', '219', '223', '224', '501']"
1.2.1.31,"['C04076', 'C00003', 'C00006', 'C00001', 'C00450']","['C00956', 'C00004', 'C00005', 'C00080', 'C00450', 'C00001']",['501']
1.2.1.32,"['C03824', 'C00003', 'C00001']","['C02220', 'C00004', 'C00080']",['64577']
1.2.1.36,"['C00376', 'C00003', 'C00001']","['C00777', 'C00004', 'C00080']","['216', '220', '8854']"
1.2.1.41,"['C01165', 'C00009', 'C00006']","['C03287', 'C00005', 'C00080']",['5832']
1.2.1.47,"['C01149', 'C00003', 'C00001']","['C01181', 'C00004', 'C00080']",['223']
1.2.1.5,"['C00071', 'C00003', 'C00006', 'C00001']","['C00060', 'C00004', 'C00005', 'C00080']","['218', '221', '222']"
1.2.1.8,"['C00576', 'C00003', 'C00001']","['C00719', 'C00004', 'C00080']",['501']
1.2.1.84,"['C02843', 'C00005', 'C00080']","['C00339', 'C00006', 'C00010']","['55711', '84188']"
1.2.1.88,"['C01165', 'C00003', 'C00001']","['C00025', 'C00004', 'C00080']",['8659']
1.2.3.1,"['C00071', 'C00001', 'C00007']","['C00060', 'C00027']",['316']
1.2.4.1,"['C00022', 'C15972']","['C16255', 'C00011']","['5160', '5161', '5162']"
1.2.4.2,['C00026'],"['C16254', 'C00011']","['4967', '55526', '55753']"
1.2.4.4,['C00141'],"['C15977', 'C00011']","['593', '594']"
1.21.1.1,"['C00082', 'C00006', 'C00708', 'C02515']","['C01060', 'C00005', 'C00080', 'C02515']",['389434']
1.21.99.3,"['C07639', 'C00708', 'C00028', 'C00080']","['C01829', 'C00030']",['1735']
1.21.99.4,"['C02465', 'C00708', 'C00028', 'C00080']","['C01829', 'C00030']","['1733', '1734']"
1.3.1.124,"['C05067', 'C00006']","['C04512', 'C00005', 'C00080', 'C22258']","['1666', '26063']"
1.3.1.2,"['C00429', 'C00006']","['C00106', 'C00005', 'C00080']",['1806']
1.3.1.20,"['C04221', 'C00006']","['C00090', 'C00005', 'C00080']","['1645', '27294']"
1.3.1.21,"['C00187', 'C00006']","['C01164', 'C00005', 'C00080']",['1717']
1.3.1.22,"['C02940', 'C00006']","['C00619', 'C00005', 'C00080']","['6715', '6716', '79644']"
1.3.1.24,"['C00486', 'C00003', 'C00006']","['C00500', 'C00004', 'C00005', 'C00080']","['644', '645']"
1.3.1.3,"['C03091', 'C00006']","['C00599', 'C00005', 'C00080', 'C00762']",['6718']
1.3.1.38,"['C00040', 'C00006']","['C00658', 'C00005', 'C00080']","['51102', '55825']"
1.3.1.48,"['C22454', 'C00003', 'C00006']","['C04654', 'C00004', 'C00005', 'C00080']","['145482', '22949', '284273']"
1.3.1.70,"['C05108', 'C00006']","['C11455', 'C00005', 'C00080']","['3930', '7108']"
1.3.1.72,"['C01189', 'C00006']","['C05439', 'C00005', 'C00080']",['1718']
1.3.1.74,"['C15596', 'C00003', 'C00006']","['C15597', 'C00004', 'C00005', 'C00080']",['22949']
1.3.1.88,"['C00003', 'C00006']","['C00004', 'C00005', 'C00080']",['64118']
1.3.1.89,"['C00003', 'C00006']","['C00004', 'C00005', 'C00080']",['56931']
1.3.1.90,"['C00003', 'C00006']","['C00004', 'C00005', 'C00080']",['11062']
1.3.1.91,"['C00003', 'C00006']","['C00004', 'C00005', 'C00080']",['54920']
1.3.1.93,"['C20876', 'C00006']","['C20879', 'C00005', 'C00080']",['9524']
1.3.1.94,"['C00381', 'C00006']","['C06081', 'C00005', 'C00080']",['79644']
1.3.3.15,"['C03263', 'C00007']","['C05770', 'C00027']",['5498']
1.3.3.3,"['C03263', 'C00007', 'C00080']","['C01079', 'C00011', 'C00001']",['1371']
1.3.3.4,"['C01079', 'C00007']","['C02191', 'C00027']",['5498']
1.3.3.6,"['C00040', 'C00007']","['C00658', 'C00027']","['51', '8310']"
1.3.5.1,"['C00042', 'C15602']","['C00122', 'C15603']","['6389', '6390']"
1.3.5.2,"['C00337', 'C15602']","['C00295', 'C15603']",['1723']
1.3.8.1,"['C20675', 'C04253']","['C20676', 'C04570']",['35']
1.3.8.4,"['C02939', 'C04253']","['C03069', 'C04570']",['3712']
1.3.8.5,"['C01033', 'C04253']","['C03345', 'C04570', 'C00080']",['36']
1.3.8.6,"['C00527', 'C04253', 'C02411']","['C00877', 'C00011', 'C04570', 'C02411']",['2639']
1.3.8.7,"['C21926', 'C04253']",['C04570'],['34']
1.3.8.8,"['C02843', 'C04253']",['C04570'],['33']
1.3.8.9,"['C20876', 'C04253']","['C20879', 'C04570']",['37']
1.3.99.23,"['C15492', 'C00028']","['C00473', 'C00030']",['54884']
1.4.1.21,"['C00049', 'C00001', 'C00003', 'C00006', 'C05840']","['C00036', 'C00014', 'C00004', 'C00005', 'C00080', 'C05840']",['554235']
1.4.1.3,"['C00025', 'C00001', 'C00003', 'C00006']","['C00026', 'C00014', 'C00004', 'C00005', 'C00080']","['2746', '2747']"
1.4.3.1,"['C00402', 'C00001', 'C00007']","['C00036', 'C00014', 'C00027']",['8528']
1.4.3.13,"['C02188', 'C00007', 'C00001']","['C03531', 'C00014', 'C00027']",['4015']
1.4.3.2,"['C00151', 'C00001', 'C00007']","['C00161', 'C00014', 'C00027']",['259307']
